,InvoiceDate,InvoiceNo,CustomerID,StockCode,Country,Description,Quantity,Price,Revenue,DayOfWeek,Month,RevenueLag_1Day,PurchaseID,UnitPrice,AvgMonthlyProductRevenue,AvgMonthlyUnitPrice,AvgMonthlyQuantitySold,Cohort,OrderMonth,FirstPurchaseDate,IsFirstPurchase,UnitCost,TotalCost,GrossProfit,GrossMargin
32,2011-03-17,546890,1339400,22499.0,United Kingdom,WOODEN UNION JACK BUNTING,3,5.95,17.85,4,3,19.8,13394-22499,1.98,38.9,2.62,7.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,17.85,100.0
33,2011-03-17,546890,1339400,22084.0,United Kingdom,PAPER CHAIN KIT EMPIRE,6,2.95,17.7,4,3,17.85,13394-22084,0.49,35.95,1.04,11.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,17.7,100.0
34,2011-03-17,546890,1339400,21238.0,United Kingdom,RED RETROSPOT CUP,8,0.85,6.8,4,3,17.7,13394-21238,0.11,12.62,0.21,14.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,6.8,100.0
35,2011-03-17,546890,1339400,21232.0,United Kingdom,STRAWBERRY CERAMIC TRINKET BOX,12,1.25,15.0,4,3,6.8,13394-21232,0.1,17.64,0.57,14.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,15.0,100.0
36,2011-03-17,546890,1339400,22175.0,United Kingdom,PINK OWL SOFT TOY,6,2.95,17.7,4,3,15.0,13394-22175,0.49,11.98,1.36,4.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,17.7,100.0
37,2011-03-17,546890,1339400,22445.0,United Kingdom,PENCIL CASE LIFE IS BEAUTIFUL,6,2.95,17.7,4,3,17.7,13394-22445,0.49,10.31,1.68,3.0,2011-03,2011-03,2011-03-17,True,0.441,2.646,15.053999999999998,85.05084745762711
38,2011-03-17,546890,1339400,22245.0,United Kingdom,HOOK 1 HANGER MAGIC GARDEN,12,0.85,10.2,4,3,17.7,13394-22245,0.07,11.88,0.49,10.0,2011-03,2011-03,2011-03-17,True,0.018000000000000002,0.21600000000000003,9.984,97.88235294117648
39,2011-03-17,546890,1339400,22523.0,United Kingdom,CHILDS GARDEN FORK PINK,12,0.85,10.2,4,3,10.2,13394-22523,0.07,4.38,0.52,5.0,2011-03,2011-03,2011-03-17,True,0.06300000000000001,0.7560000000000002,9.443999999999999,92.58823529411765
40,2011-03-17,546890,1339400,22525.0,United Kingdom,CHILDRENS GARDEN GLOVES PINK,10,1.25,12.5,4,3,10.2,13394-22525,0.13,7.66,0.96,6.0,2011-03,2011-03,2011-03-17,True,0.054,0.54,11.96,95.68
41,2011-03-17,546890,1339400,21383.0,United Kingdom,PACK OF 12 STICKY BUNNIES,12,0.65,7.8,4,3,12.5,13394-21383,0.05,4.78,0.48,6.0,2011-03,2011-03,2011-03-17,True,0.018000000000000002,0.21600000000000003,7.584,97.23076923076923
42,2011-03-17,546890,1339400,22256.0,United Kingdom,FELT FARM ANIMAL CHICKEN,12,1.25,15.0,4,3,7.8,13394-22256,0.1,9.72,0.6,7.0,2011-03,2011-03,2011-03-17,True,0.09000000000000001,1.08,13.92,92.80000000000001
43,2011-03-17,546890,1339400,22776.0,United Kingdom,SWEETHEART CAKESTAND 3 TIER,1,9.95,9.95,4,3,15.0,13394-22776,9.95,21.86,7.87,2.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,9.95,100.0
44,2011-03-17,546890,1339400,22342.0,United Kingdom,HOME GARLAND PAINTED ZINC ,12,1.65,19.8,4,3,9.95,13394-22342,0.14,8.79,2.24,5.0,2011-03,2011-03,2011-03-17,True,0.108,1.296,18.504,93.45454545454545
45,2011-03-17,546890,1339400,22832.0,United Kingdom,BROCANTE SHELF WITH HOOKS,2,10.75,21.5,4,3,19.8,13394-22832,5.38,19.02,4.97,2.0,2011-03,2011-03,2011-03-17,True,4.842,9.684,11.816,54.95813953488372
377,2011-03-17,C546894,1433400,22461.0,United Kingdom,SAVOY ART DECO CLOCK,-1,12.75,-12.75,4,3,-4.95,14334-22461,0.0,0.0,6.38,0.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-12.75,100.0
378,2011-03-17,C546895,1535800,22777.0,United Kingdom,GLASS CLOCHE LARGE,-1,8.5,-8.5,4,3,-12.75,15358-22777,0.0,10.91,6.3,-1.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-8.5,100.0
677,2011-03-17,C546897,1818300,21937.0,United Kingdom,STRAWBERRY   PICNIC BAG,-2,2.95,-5.9,4,3,16.58,18183-21937,0.0,20.88,1.15,7.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-5.9,100.0
678,2011-03-17,C546897,1818300,22720.0,United Kingdom,SET OF 3 CAKE TINS PANTRY DESIGN ,-1,4.95,-4.95,4,3,-5.9,18183-22720,0.0,21.24,2.38,4.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-4.95,100.0
679,2011-03-17,546898,1796100,22358.0,United Kingdom,KINGS CHOICE TEA CADDY ,1,2.95,2.95,4,3,-4.95,17961-22358,2.95,14.02,2.85,4.0,2011-03,2011-03,2011-03-17,True,0.441,0.441,2.5090000000000003,85.05084745762713
680,2011-03-17,546898,1796100,22508.0,United Kingdom,DOORSTOP RETROSPOT HEART,1,3.75,3.75,4,3,2.95,17961-22508,3.75,11.08,2.77,3.0,2011-03,2011-03,2011-03-17,True,0.279,0.279,3.471,92.56
681,2011-03-17,546898,1796100,22399.0,United Kingdom,MAGNETS PACK OF 4 CHILDHOOD MEMORY,1,1.25,1.25,4,3,3.75,17961-22399,1.25,11.22,0.55,10.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,1.25,100.0
682,2011-03-17,546898,1796100,21698.0,United Kingdom,MOCK LOBSTER FRIDGE MAGNET,1,0.85,0.85,4,3,1.25,17961-21698,0.85,4.23,0.85,5.0,2011-03,2011-03,2011-03-17,True,0.765,0.765,0.08499999999999996,9.999999999999996
683,2011-03-17,546899,1429800,20719.0,United Kingdom,WOODLAND CHARLOTTE BAG,50,0.72,36.0,4,3,0.85,14298-20719,0.01,28.15,0.34,22.0,2011-03,2011-03,2011-03-17,True,0.009000000000000001,0.45000000000000007,35.55,98.75
684,2011-03-17,546899,1429800,22355.0,United Kingdom,CHARLOTTE BAG SUKI DESIGN,50,0.72,36.0,4,3,36.0,14298-22355,0.01,36.64,0.38,22.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,36.0,100.0
685,2011-03-17,546899,1429800,22661.0,United Kingdom,CHARLOTTE BAG DOLLY GIRL DESIGN,50,0.72,36.0,4,3,36.0,14298-22661,0.01,10.29,0.28,13.0,2011-03,2011-03,2011-03-17,True,0.009000000000000001,0.45000000000000007,35.55,98.75
686,2011-03-17,546899,1429800,85099.0,United Kingdom,JUMBO BAG STRAWBERRY,30,1.65,49.5,4,3,36.0,14298-85099,0.06,53.95,0.87,28.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
687,2011-03-17,546899,1429800,85099.0,United Kingdom,JUMBO  BAG BAROQUE BLACK WHITE,30,1.65,49.5,4,3,49.5,14298-85099,0.06,53.95,0.87,28.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
688,2011-03-17,546899,1429800,22411.0,United Kingdom,JUMBO SHOPPER VINTAGE RED PAISLEY,30,1.65,49.5,4,3,49.5,14298-22411,0.06,20.03,1.05,9.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
689,2011-03-17,546899,1429800,85099.0,United Kingdom,JUMBO BAG RED RETROSPOT,30,1.65,49.5,4,3,49.5,14298-85099,0.06,53.95,0.87,28.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
690,2011-03-17,546899,1429800,22386.0,United Kingdom,JUMBO BAG PINK POLKADOT,30,1.65,49.5,4,3,49.5,14298-22386,0.06,47.47,0.97,26.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
691,2011-03-17,546899,1429800,22663.0,United Kingdom,JUMBO BAG DOLLY GIRL DESIGN,30,1.65,49.5,4,3,49.5,14298-22663,0.06,27.12,1.35,15.0,2011-03,2011-03,2011-03-17,True,0.018000000000000002,0.54,48.96,98.9090909090909
692,2011-03-17,546899,1429800,22385.0,United Kingdom,JUMBO BAG SPACEBOY DESIGN,30,1.65,49.5,4,3,49.5,14298-22385,0.06,43.3,1.28,25.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
693,2011-03-17,546899,1429800,21931.0,United Kingdom,JUMBO STORAGE BAG SUKI,40,1.65,66.0,4,3,49.5,14298-21931,0.04,28.19,0.98,14.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,66.0,100.0
694,2011-03-17,546899,1429800,21930.0,United Kingdom,JUMBO STORAGE BAG SKULLS,30,1.65,49.5,4,3,66.0,14298-21930,0.06,24.84,0.87,14.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
695,2011-03-17,546899,1429800,21929.0,United Kingdom,JUMBO BAG PINK VINTAGE PAISLEY,30,1.65,49.5,4,3,49.5,14298-21929,0.06,48.66,0.55,22.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
696,2011-03-17,546899,1429800,21928.0,United Kingdom,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,30,1.65,49.5,4,3,49.5,14298-21928,0.06,35.0,1.34,19.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
697,2011-03-17,546899,1429800,21033.0,United Kingdom,JUMBO BAG CHARLIE AND LOLA TOYS,30,1.65,49.5,4,3,49.5,14298-21033,0.06,14.55,2.18,6.0,2011-03,2011-03,2011-03-17,True,0.027,0.8099999999999999,48.69,98.36363636363636
698,2011-03-17,546899,1429800,20713.0,United Kingdom,JUMBO BAG OWLS,30,1.65,49.5,4,3,49.5,14298-20713,0.06,31.4,1.18,17.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
699,2011-03-17,546899,1429800,20712.0,United Kingdom,JUMBO BAG WOODLAND ANIMALS,30,1.65,49.5,4,3,49.5,14298-20712,0.06,35.21,1.32,18.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
700,2011-03-17,546899,1429800,20711.0,United Kingdom,JUMBO BAG TOYS ,30,1.65,49.5,4,3,49.5,14298-20711,0.06,36.35,1.34,20.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,49.5,100.0
701,2011-03-17,546899,1429800,22356.0,United Kingdom,CHARLOTTE BAG PINK POLKADOT,10,0.72,7.2,4,3,49.5,14298-22356,0.07,18.86,0.36,17.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,7.2,100.0
702,2011-03-17,546899,1429800,20724.0,United Kingdom,RED RETROSPOT CHARLOTTE BAG,50,0.72,36.0,4,3,7.2,14298-20724,0.01,25.96,0.3,20.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,36.0,100.0
703,2011-03-17,546899,1429800,20723.0,United Kingdom,STRAWBERRY CHARLOTTE BAG,50,0.72,36.0,4,3,36.0,14298-20723,0.01,18.89,0.24,16.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,36.0,100.0
704,2011-03-17,546900,1429800,82583.0,United Kingdom,HOT BATHS METAL SIGN,12,2.1,25.2,4,3,36.0,14298-82583,0.18,22.4,1.29,9.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,25.2,100.0
705,2011-03-17,C546901,1411200,22232.0,United Kingdom,JIGSAW TOADSTOOLS 3 PIECE,-8,1.65,-13.2,4,3,25.2,14112-22232,0.0,5.15,0.7,3.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-13.2,100.0
706,2011-03-17,C546901,1411200,21844.0,United Kingdom,RED RETROSPOT MUG,-1,2.95,-2.95,4,3,-13.2,14112-21844,0.0,22.64,0.96,8.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-2.95,100.0
707,2011-03-17,C546901,1411200,21535.0,United Kingdom,RED RETROSPOT SMALL MILK JUG,-3,2.55,-7.65,4,3,-2.95,14112-21535,0.0,15.69,1.4,6.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-7.65,100.0
708,2011-03-17,C546901,1411200,22968.0,United Kingdom,ROSE COTTAGE KEEPSAKE BOX ,-1,9.95,-9.95,4,3,-7.65,14112-22968,0.0,35.15,7.49,4.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-9.95,100.0
709,2011-03-17,C546901,1411200,22776.0,United Kingdom,SWEETHEART CAKESTAND 3 TIER,-1,9.95,-9.95,4,3,-9.95,14112-22776,0.0,21.86,7.87,2.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-9.95,100.0
710,2011-03-17,C546901,1411200,22741.0,United Kingdom,FUNKY DIVA PEN,-2,0.85,-1.7,4,3,-9.95,14112-22741,0.0,68.42,0.02,88.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-1.7,100.0
711,2011-03-17,C546901,1411200,22501.0,United Kingdom,PICNIC BASKET WICKER LARGE,-2,9.95,-19.9,4,3,-1.7,14112-22501,0.0,24.39,9.42,2.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-19.9,100.0
712,2011-03-17,546902,1429800,23184.0,United Kingdom,BULL DOG BOTTLE OPENER,8,4.15,33.2,4,3,-19.9,14298-23184,0.52,25.3,2.31,5.0,2011-03,2011-03,2011-03-17,True,0.108,0.864,32.336000000000006,97.3975903614458
713,2011-03-17,C546903,1621700,20886.0,United Kingdom,BOX OF 9 PEBBLE CANDLES,-6,1.95,-11.7,4,3,33.2,16217-20886,0.0,11.07,1.26,5.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-11.7,100.0
714,2011-03-17,C546903,1621700,21906.0,United Kingdom,PHARMACIE FIRST AID TIN,-2,6.75,-13.5,4,3,-11.7,16217-21906,0.0,20.81,5.81,3.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-13.5,100.0
715,2011-03-17,C546903,1621700,22212.0,United Kingdom,FOUR HOOK  WHITE LOVEBIRDS,-6,2.1,-12.6,4,3,-13.5,16217-22212,0.0,7.68,1.49,3.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-12.6,100.0
716,2011-03-17,C546904,1615000,22822.0,United Kingdom,CREAM WALL PLANTER HEART SHAPED,-1,5.95,-5.95,4,3,-12.6,16150-22822,0.0,13.89,4.44,2.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-5.95,100.0
717,2011-03-17,C546904,1615000,22784.0,United Kingdom,LANTERN CREAM GAZEBO ,-1,4.95,-4.95,4,3,-5.95,16150-22784,0.0,14.56,2.09,3.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-4.95,100.0
718,2011-03-17,C546904,1615000,22766.0,United Kingdom,PHOTO FRAME CORNICE,-4,2.95,-11.8,4,3,-4.95,16150-22766,0.0,18.81,1.33,6.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-11.8,100.0
719,2011-03-17,C546904,1615000,20723.0,United Kingdom,STRAWBERRY CHARLOTTE BAG,-1,0.85,-0.85,4,3,-11.8,16150-20723,0.0,18.89,0.24,16.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-0.85,100.0
721,2011-03-17,C546906,1767500,82484.0,United Kingdom,WOOD BLACK BOARD ANT WHITE FINISH,-1,6.75,-6.75,4,3,-21.6,17675-82484,0.0,53.93,4.4,9.0,2011-03,2011-03,2011-03-17,True,0.0,-0.0,-6.75,100.0
723,2011-03-17,546908,1564800,21754.0,United Kingdom,HOME BUILDING BLOCK WORD,3,5.95,17.85,4,3,-16.75,15648-21754,1.98,23.17,3.44,4.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,17.85,100.0
724,2011-03-17,546908,1564800,21754.0,United Kingdom,HOME BUILDING BLOCK WORD,3,5.95,17.85,4,3,17.85,15648-21754,1.98,23.17,3.44,4.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,17.85,100.0
725,2011-03-17,546908,1564800,84406.0,United Kingdom,CREAM CUPID HEARTS COAT HANGER,8,4.15,33.2,4,3,17.85,15648-84406,0.52,24.94,2.38,-6.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,33.2,100.0
726,2011-03-17,546908,1564800,22189.0,United Kingdom,CREAM HEART CARD HOLDER,12,3.95,47.4,4,3,33.2,15648-22189,0.33,32.03,2.3,11.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,47.4,100.0
727,2011-03-17,546908,1564800,22666.0,United Kingdom,RECIPE BOX PANTRY YELLOW DESIGN,6,2.95,17.7,4,3,47.4,15648-22666,0.49,18.91,1.59,6.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,17.7,100.0
728,2011-03-17,546908,1564800,22720.0,United Kingdom,SET OF 3 CAKE TINS PANTRY DESIGN ,6,4.95,29.7,4,3,17.7,15648-22720,0.83,21.24,2.38,4.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,29.7,100.0
729,2011-03-17,546908,1564800,22907.0,United Kingdom,PACK OF 20 NAPKINS PANTRY DESIGN,24,0.85,20.4,4,3,29.7,15648-22907,0.04,9.47,0.34,10.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,20.4,100.0
730,2011-03-17,546908,1564800,22730.0,United Kingdom,ALARM CLOCK BAKELIKE IVORY,4,3.75,15.0,4,3,20.4,15648-22730,0.94,12.15,2.83,3.0,2011-03,2011-03,2011-03-17,True,0.279,1.116,13.884,92.56
731,2011-03-17,546908,1564800,22727.0,United Kingdom,ALARM CLOCK BAKELIKE RED ,4,3.75,15.0,4,3,15.0,15648-22727,0.94,17.51,2.41,4.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,15.0,100.0
732,2011-03-17,546908,1564800,22084.0,United Kingdom,PAPER CHAIN KIT EMPIRE,12,2.95,35.4,4,3,15.0,15648-22084,0.25,35.95,1.04,11.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,35.4,100.0
733,2011-03-17,546908,1564800,21621.0,United Kingdom,VINTAGE UNION JACK BUNTING,6,8.5,51.0,4,3,35.4,15648-21621,1.42,124.15,4.36,13.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,51.0,100.0
734,2011-03-17,546908,1564800,47590.0,United Kingdom,BLUE HAPPY BIRTHDAY BUNTING,3,5.45,16.35,4,3,51.0,15648-47590,1.82,19.5,3.2,4.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,16.35,100.0
735,2011-03-17,546909,1405600,23049.0,United Kingdom,RECYCLED ACAPULCO MAT RED,9,8.25,74.25,4,3,16.35,14056-23049,0.92,23.81,3.99,3.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,74.25,100.0
736,2011-03-17,546909,1405600,22984.0,United Kingdom,CARD GINGHAM ROSE ,12,0.42,5.04,4,3,74.25,14056-22984,0.03,5.24,0.15,12.0,2011-03,2011-03,2011-03-17,True,0.018000000000000002,0.21600000000000003,4.824,95.71428571428571
737,2011-03-17,546909,1405600,20717.0,United Kingdom,STRAWBERRY SHOPPER BAG,2,1.25,2.5,4,3,5.04,14056-20717,0.63,9.67,0.86,7.0,2011-03,2011-03,2011-03-17,True,0.054,0.108,2.392,95.67999999999999
738,2011-03-17,546909,1405600,22398.0,United Kingdom,MAGNETS PACK OF 4 SWALLOWS,4,1.25,5.0,4,3,2.5,14056-22398,0.31,5.12,0.54,4.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,5.0,100.0
739,2011-03-17,546909,1405600,21523.0,United Kingdom,DOORMAT FANCY FONT HOME SWEET HOME,1,7.95,7.95,4,3,5.0,14056-21523,7.95,27.09,5.74,4.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,7.95,100.0
740,2011-03-17,546909,1405600,22971.0,United Kingdom,QUEENS GUARD COFFEE MUG,6,2.55,15.3,4,3,7.95,14056-22971,0.43,14.61,1.0,6.0,2011-03,2011-03,2011-03-17,True,0.054,0.324,14.976,97.88235294117648
741,2011-03-17,546909,1405600,22970.0,United Kingdom,LONDON BUS COFFEE MUG,6,2.55,15.3,4,3,15.3,14056-22970,0.43,35.14,0.94,13.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,15.3,100.0
742,2011-03-17,546909,1405600,21871.0,United Kingdom,SAVE THE PLANET MUG,6,1.25,7.5,4,3,15.3,14056-21871,0.21,9.16,1.13,6.0,2011-03,2011-03,2011-03-17,True,0.009000000000000001,0.054000000000000006,7.446,99.28
743,2011-03-17,546909,1405600,22998.0,United Kingdom,TRAVEL CARD WALLET KEEP CALM,8,0.42,3.36,4,3,7.5,14056-22998,0.05,6.87,0.23,13.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,3.36,100.0
744,2011-03-17,546909,1405600,23000.0,United Kingdom,TRAVEL CARD WALLET TRANSPORT,6,0.42,2.52,4,3,3.36,14056-23000,0.07,4.52,0.24,11.0,2011-03,2011-03,2011-03-17,True,0.009000000000000001,0.054000000000000006,2.466,97.85714285714286
745,2011-03-17,546909,1405600,22996.0,United Kingdom,TRAVEL CARD WALLET VINTAGE TICKET,4,0.42,1.68,4,3,2.52,14056-22996,0.11,4.98,0.27,10.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,1.68,100.0
746,2011-03-17,546909,1405600,23003.0,United Kingdom,TRAVEL CARD WALLET VINTAGE ROSE ,24,0.42,10.08,4,3,1.68,14056-23003,0.02,2.02,0.23,5.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,10.08,100.0
747,2011-03-17,546909,1405600,22999.0,United Kingdom,TRAVEL CARD WALLET RETRO PETALS,24,0.42,10.08,4,3,10.08,14056-22999,0.02,3.83,0.27,8.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,10.08,100.0
748,2011-03-17,546909,1405600,22994.0,United Kingdom,TRAVEL CARD WALLET RETROSPOT,24,0.42,10.08,4,3,10.08,14056-22994,0.02,3.27,0.4,7.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,10.08,100.0
749,2011-03-17,546909,1405600,21365.0,United Kingdom,MIRRORED WALL ART STARS,3,2.95,8.85,4,3,10.08,14056-21365,0.98,8.09,2.58,2.0,2011-03,2011-03,2011-03-17,True,0.882,2.646,6.204,70.10169491525424
750,2011-03-17,546909,1405600,22659.0,United Kingdom,LUNCH BOX I LOVE LONDON,2,1.95,3.9,4,3,8.85,14056-22659,0.98,47.09,1.28,26.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,3.9,100.0
751,2011-03-17,546909,1405600,22730.0,United Kingdom,ALARM CLOCK BAKELIKE IVORY,1,3.75,3.75,4,3,3.9,14056-22730,3.75,12.15,2.83,3.0,2011-03,2011-03,2011-03-17,True,0.279,0.279,3.471,92.56
752,2011-03-17,546909,1405600,22191.0,United Kingdom,IVORY DINER WALL CLOCK,1,8.5,8.5,4,3,3.75,14056-22191,8.5,19.13,5.62,2.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,8.5,100.0
753,2011-03-17,546909,1405600,21392.0,United Kingdom,RED POLKADOT PUDDING BOWL,4,0.39,1.56,4,3,8.5,14056-21392,0.1,2.21,0.17,6.0,2011-03,2011-03,2011-03-17,True,0.09000000000000001,0.36000000000000004,1.2,76.92307692307692
754,2011-03-17,546909,1405600,21399.0,United Kingdom,BLUE POLKADOT COFFEE MUG,30,0.39,11.7,4,3,1.56,14056-21399,0.01,12.44,0.18,31.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,11.7,100.0
755,2011-03-17,546909,1405600,21398.0,United Kingdom,RED POLKADOT COFFEE  MUG,30,0.39,11.7,4,3,11.7,14056-21398,0.01,12.88,0.2,31.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,11.7,100.0
756,2011-03-17,546910,1396900,85160.0,United Kingdom,BLACK BIRD GARDEN DESIGN MUG,2,0.39,0.78,4,3,11.7,13969-85160,0.2,1.04,0.09,-4.0,2011-03,2011-03,2011-03-17,True,0.06300000000000001,0.12600000000000003,0.654,83.84615384615385
757,2011-03-17,546910,1396900,22728.0,United Kingdom,ALARM CLOCK BAKELIKE PINK,2,3.75,7.5,4,3,0.78,13969-22728,1.88,14.42,2.73,4.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,7.5,100.0
758,2011-03-17,546910,1396900,22727.0,United Kingdom,ALARM CLOCK BAKELIKE RED ,2,3.75,7.5,4,3,7.5,13969-22727,1.88,17.51,2.41,4.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,7.5,100.0
759,2011-03-17,546910,1396900,22729.0,United Kingdom,ALARM CLOCK BAKELIKE ORANGE,2,3.75,7.5,4,3,7.5,13969-22729,1.88,14.09,2.73,3.0,2011-03,2011-03,2011-03-17,True,0.0,0.0,7.5,100.0
