CustomerID,TotalQuantityFirstPurchase,TotalItemsFirstPurchase,TotalRevenueFirstPurchase,UniqueProductsFirstPurchase
1402200,487,28,440.0,27
1402300,162,16,273.14,16
1403000,248,44,337.67,41
1403100,0,10,5.684341886080802e-14,5
1403200,230,17,303.34000000000003,17
1404000,84,5,171.1,5
1404100,94,21,141.41,20
1405100,162,10,905.0999999999999,9
1405600,207,21,220.6,21
1405700,356,13,391.03999999999996,13
1405900,128,8,183.6,8
1406000,493,22,446.7,22
1406200,156,12,317.26,10
1406400,906,8,375.35,8
1406600,45,7,152.55,7
1407100,200,20,225.4,20
1407500,270,18,307.92,18
1407700,20,6,82.5,6
1407800,68,10,166.4,10
1408500,66,19,150.34,18
1409200,219,17,311.38,17
1409900,236,28,244.13,27
1410100,3620,4,1224.6,4
1410500,800,74,1266.23,74
1410700,418,28,554.18,28
1411000,388,32,904.26,29
1411100,148,2,94.2,2
1411200,-18,7,-65.3,7
1412700,36,9,137.6,9
1412800,269,22,305.54,22
1412900,164,16,358.9,16
1413500,468,13,309.35,11
1414500,228,4,1128.6,3
1414600,260,30,662.3,30
1414800,16,3,157.2,3
1414900,218,28,446.62,25
1415200,369,29,314.51,29
1415400,465,52,1345.62,52
1415500,25,6,118.75,4
1415900,402,118,458.87,100
1416100,187,57,564.33,50
1416300,153,17,411.87,15
1416700,33,9,110.65,6
1417300,40,11,114.03999999999999,11
1418000,-1,1,-9.95,1
1418800,190,11,362.9,11
1418900,224,18,314.1,18
1419100,113,10,150.32,10
1419400,653,64,1062.47,61
1419500,736,5,828.4,5
1419800,104,12,183.3,12
1419900,28,2,185.39999999999998,2
1420100,68,7,109.03999999999999,7
1420500,126,14,222.9,13
1420600,276,20,328.15999999999997,20
1420900,84,19,420.6,19
1421000,100,16,305.46,16
1421100,73,9,138.79,9
1421700,63,6,130.05,5
1422000,138,10,319.42,10
1422300,130,18,304.9,18
1422400,131,41,251.02,39
1422600,377,18,726.1,17
1422700,-1,1,-2.55,1
1423100,176,19,309.0,19
1423200,568,47,693.18,46
1423300,97,5,328.15,5
1423500,576,30,850.31,29
1423900,53,6,144.95,6
1424000,79,10,226.85,10
1424200,70,8,142.2,8
1424300,237,23,373.27,23
1424500,631,67,1005.1,67
1424600,216,24,449.64,24
1425600,112,21,445.2,21
1425800,184,6,982.08,6
1426200,196,16,240.0,16
1426400,18,5,115.7,5
1426700,280,30,836.36,15
1427100,88,10,112.32,10
1427200,87,8,132.09,8
1427300,54,6,112.80000000000001,5
1428200,279,21,323.3,21
1428600,1998,141,2050.08,137
1428800,188,16,426.6,16
1428900,40,9,147.3,9
1429100,358,37,628.58,37
1429800,740,23,1004.6,21
1430400,139,17,383.45,17
1430700,311,28,424.42,28
1430900,155,20,347.49,20
1431100,146,20,310.26,20
1431500,256,27,530.4,27
1432300,222,19,299.82,19
1432600,103,8,183.85,8
1432900,-1,1,-4.95,1
1433400,-1,1,-12.75,1
1433600,301,14,230.03,14
1433900,168,14,309.52,14
1434000,58,6,134.7,6
1434100,215,22,367.52,21
1434200,102,7,309.6,7
1434400,23,4,82.55000000000001,4
1434800,183,18,409.57,18
1435200,316,29,614.02,27
1435300,64,6,90.6,6
1436400,371,8,719.15,8
1436700,321,27,504.60999999999996,26
1437700,124,4,314.59999999999997,4
1439000,207,56,503.33000000000004,49
1439300,13,5,67.95,5
1439500,151,23,178.18,21
1439700,184,11,165.44,11
1440300,274,14,790.7,14
1440400,146,8,307.5,8
1440700,-1,1,-12.75,1
1440800,188,9,350.8,9
1441000,116,78,174.92,71
1441500,187,55,397.14,55
1441900,107,37,183.46,36
1442100,194,15,455.18,14
1442300,120,3,265.2,3
1442800,89,4,127.07,4
1444100,108,13,356.84,13
1444600,318,83,303.03999999999996,81
1444900,194,57,191.06,49
1445000,71,12,108.42,12
1446100,277,64,776.23,62
1446200,127,44,251.29,42
1446500,219,123,461.32,103
1447200,216,62,311.57,59
1447600,132,19,215.7,17
1447900,59,8,141.85,8
1448200,111,15,238.1,13
1450200,137,57,306.62,53
1450400,36,22,134.56,22
1450500,222,65,647.76,65
1450700,64,16,236.46,16
1451200,50,14,126.32,14
1451300,-6,6,-17.1,6
1451500,177,16,425.4,16
1452400,107,48,292.08,43
1452500,286,16,350.15,14
1452700,27,21,73.77,21
1453000,148,30,448.65,28
1453200,166,20,140.55,20
1453400,141,23,187.7,23
1453500,462,95,853.97,88
1453600,40,19,171.8,17
1453800,30,3,106.5,3
1454100,52,5,134.8,2
1454300,37,15,47.63999999999999,13
1454600,352,101,543.92,94
1455300,51,16,110.38,16
1456000,10,2,96.6,2
1456200,291,37,481.40000000000003,34
1457200,31,3,116.45,3
1457300,41,20,165.82999999999998,19
1457700,60,24,121.11,24
1458600,-48,2,-23.28,2
1458700,106,50,180.06,43
1459100,105,45,250.22,33
1460600,66,38,116.85,38
1460700,300,3,495.0,2
1461600,32,1,158.4,1
1461900,152,20,394.44,20
1462300,104,32,192.68,32
1462600,432,29,586.9,29
1462800,106,12,331.58,12
1463100,192,13,320.58,13
1463200,96,8,114.56,8
1463300,96,20,344.9,18
1464000,179,24,413.45,21
1464900,350,49,584.22,41
1465100,186,60,416.32,58
1465500,522,14,810.56,14
1465900,106,21,227.92000000000002,19
1466200,35,21,155.3,21
1466700,205,31,388.77,29
1466900,287,60,427.54,54
1467200,307,27,480.27,27
1467600,-1,1,-3.75,1
1468000,1239,36,2083.51,30
1468100,48,5,393.95,5
1468400,225,145,350.9,116
1468800,124,22,164.34,21
1468900,76,13,112.8,12
1469100,162,17,439.6,17
1469200,37,15,99.45,15
1469300,34,8,172.9,8
1469600,135,17,284.35,17
1469700,181,22,188.61,17
1469900,77,8,109.13,8
1470000,321,40,721.55,40
1470100,89,31,536.99,27
1470900,290,17,426.84000000000003,16
1471100,90,29,200.52,29
1471300,196,43,292.42,42
1471900,188,40,223.46,40
1473000,87,24,116.41,23
1473100,86,24,127.66,20
1473200,156,17,306.5,17
1473500,24,1,70.8,1
1473800,58,7,162.7,7
1473900,374,6,364.18,6
1474000,224,25,371.4,25
1474700,84,18,328.2,18
1474800,279,19,300.71,19
1475500,184,17,307.76,17
1475800,158,28,654.75,28
1475900,119,35,572.25,35
1476200,341,21,300.52,21
1476600,466,39,628.66,36
1476900,1703,294,2449.79,263
1477000,310,35,597.82,35
1477600,384,17,301.68,17
1479000,136,10,152.16,10
1479400,129,16,283.03,16
1479600,220,51,349.51,51
1480000,460,70,796.26,67
1481000,65,22,136.99,22
1481800,31,13,118.25,13
1482800,696,3,493.92,3
1483400,81,11,243.69,11
1484400,582,40,874.55,40
1484900,377,26,422.34,26
1485100,139,14,206.13,14
1485200,368,24,490.4,24
1485300,34,3,214.5,3
1485400,100,7,193.07999999999998,7
1486700,136,16,313.4,16
1486800,231,24,439.33,24
1487000,119,13,327.25,13
1487100,38,20,108.2,20
1487300,168,28,519.68,28
1487500,100,5,362.0,5
1487800,181,14,197.89,14
1488300,234,19,310.56,18
1488600,160,18,364.8,18
1489000,51,7,125.65,7
1489500,181,18,500.35,18
1489800,248,6,186.88,6
1490300,284,57,580.58,57
1490500,141,9,308.55,9
1492000,509,57,977.77,57
1492400,64,10,310.05,10
1494400,296,17,570.04,16
1494800,72,13,278.4,13
1495200,-10,3,-26.299999999999997,3
1495700,34,12,58.49,12
1495800,70,18,210.65,17
1495900,204,23,243.72,22
1496100,239,13,348.85,13
1496400,143,13,206.21,13
1497000,65,7,444.75,7
1497300,51,5,654.6,5
1497800,84,36,394.83,35
1498100,97,8,102.12,8
1498800,141,40,334.54,37
1499800,105,42,183.64,42
1500500,92,33,143.16,32
1501800,73,12,180.09,11
1501900,159,70,266.0,61
1502100,124,93,198.18,67
1502300,628,102,1045.69,100
1502600,23,6,121.8,6
1502700,140,8,341.4,8
1503200,1010,25,1693.5,20
1503300,117,34,179.73,34
1503400,543,97,991.72,95
1503800,29,26,157.6,22
1503900,259,40,614.85,38
1504400,67,14,313.3,13
1504500,38,4,388.9,4
1504600,125,7,328.55,7
1504800,90,38,157.75,35
1505800,129,64,262.69,50
1505900,98,41,199.11,41
1506100,1135,15,1649.58,15
1506200,276,21,353.06,21
1506300,56,5,370.79999999999995,5
1506500,-3,2,-11.649999999999999,2
1506800,130,39,239.96,39
1507800,222,19,356.3,19
1507900,109,20,386.37,20
1508300,38,5,88.2,4
1509200,19,7,134.65,7
1510600,302,27,367.75,27
1510900,131,28,484.95,25
1511400,234,16,215.34,16
1511700,670,8,312.4,8
1511900,88,14,266.4,14
1512500,400,4,527.0,4
1512800,360,33,483.7,33
1512900,368,13,304.4,13
1513200,259,19,313.77,19
1513300,206,7,324.7,7
1513400,50,6,110.1,6
1513500,43,9,139.05,9
1513900,106,5,56.86,5
1514000,283,17,446.15,17
1514300,150,14,259.45,14
1514400,208,16,270.4,16
1514500,251,26,422.23,26
1514700,366,28,623.5,28
1515900,371,41,863.2,40
1517200,194,25,346.4,25
1517800,30,3,40.5,3
1517900,40,1,102.0,1
1518700,172,9,431.6,9
1518900,-15,2,-114.8,2
1519400,145,16,335.07,16
1519700,124,12,216.75,12
1519900,109,3,304.05,2
1520100,308,19,301.48,18
1521000,228,20,331.18,20
1521200,36,5,101.8,5
1521400,402,35,514.93,35
1521800,299,16,527.85,15
1522000,116,13,195.68,13
1522300,0,24,3.552713678800501e-15,12
1522500,226,23,409.4,23
1522700,208,13,251.75,13
1523000,339,22,370.2,22
1523500,98,13,229.3,13
1523700,670,65,938.92,64
1524000,204,8,316.2,8
1524400,240,15,297.94,15
1524500,826,49,1251.48,48
1524600,161,21,328.15,21
1524900,478,60,1001.8199999999999,58
1525100,1918,30,2846.02,30
1525800,78,16,315.66,16
1526000,126,12,267.7,11
1526500,240,42,712.24,42
1527000,265,8,300.25,8
1527100,68,8,147.6,8
1528100,32,5,104.4,5
1528800,371,31,986.75,31
1528900,333,19,375.45,19
1529000,111,9,280.85,9
1529100,-3,2,-20.849999999999998,2
1529600,362,35,578.48,35
1529800,168,18,365.36,18
1529900,480,1,600.0,1
1530100,258,32,501.22,32
1530400,4,1,51.0,1
1531100,1038,54,1688.6499999999999,46
1531200,163,13,318.15999999999997,12
1535300,212,51,465.37,48
1535600,122,60,212.13,53
1535800,-1,1,-8.5,1
1536300,-1,1,-7.95,1
1536400,84,3,331.8,3
1536700,338,29,651.6,28
1537300,48,21,176.21,21
1537600,375,59,654.17,56
1538100,9,1,314.55,1
1538200,-1,1,-12.75,1
1540700,77,38,164.86,37
1540800,106,34,267.18,34
1541000,104,10,382.6,10
1541400,12,5,36.2,5
1541600,522,38,899.19,38
1542100,205,25,444.3,22
1542400,554,17,383.34,15
1542600,106,34,251.56,34
1543300,118,11,160.66,11
1543600,251,130,489.05,121
1543700,79,45,200.16,43
1544000,78,20,125.8,20
1544200,120,2,594.0,1
1544500,58,5,113.5,5
1544900,248,23,345.92,23
1545200,137,43,247.25,36
1545700,132,58,237.07,55
1546500,34,8,317.4,7
1548200,184,6,713.8,6
1548300,145,54,114.85,42
1548900,220,23,348.26,23
1549100,518,60,1022.45,59
1549300,106,58,412.49,52
1549800,190,23,344.4,23
1550800,154,18,311.42,18
1551300,210,18,310.4,18
1551400,152,15,385.2,14
1551700,293,27,267.03,27
1551800,283,43,356.92,41
1552100,433,33,475.69,32
1552700,182,20,319.74,20
1552800,123,26,229.33,25
1552900,344,63,366.18,61
1553000,324,54,553.13,49
1553500,15,12,118.85,12
1554400,393,40,560.35,40
1554700,287,44,280.66,42
1555200,60,17,90.12,17
1555500,249,99,290.52,80
1556100,51,7,265.75,7
1557000,90,16,294.04,16
1557200,207,52,430.13,50
1558100,8,4,39.6,4
1558200,255,22,303.61,22
1558900,118,17,293.58,17
1559400,145,15,267.91,15
1559600,109,16,309.19,16
1560100,215,21,266.85,21
1560500,130,20,312.58,20
1560600,104,8,310.8,8
1561100,10,1,127.5,1
1561500,382,26,536.78,25
1562000,205,29,450.52,29
1562200,-1,1,-8.5,1
1562400,54,10,183.9,10
1562500,513,36,695.33,36
1562800,173,22,371.83,22
1563200,48,9,300.6,9
1564000,553,46,1103.73,46
1564100,430,31,543.22,31
1564400,184,67,238.62,65
1564600,140,11,150.24,11
1564800,91,12,316.85,11
1565100,238,16,227.32,16
1565500,324,34,560.67,33
1565600,11,4,63.910000000000004,4
1565800,0,4,0.0,2
1566500,1174,77,1476.22,73
1566800,72,1,76.32,1
1566900,64,11,198.8,11
1567100,184,12,375.96000000000004,12
1567300,466,46,815.78,46
1567400,198,19,355.12,18
1567600,-4,2,-20.4,2
1569100,72,2,136.8,2
1569400,36,2,365.4,2
1569500,212,22,409.98,21
1569600,140,18,317.9,18
1570300,66,5,211.5,5
1570400,407,47,938.85,42
1570800,146,30,443.85,27
1571600,101,20,115.25999999999999,15
1571700,70,7,150.3,6
1571900,225,68,326.8,65
1572700,393,46,784.45,46
1572900,28,5,85.0,5
1573200,118,9,156.02,9
1573700,286,29,475.88,29
1573800,253,13,328.15,12
1574500,127,18,302.85,17
1574900,0,10,-1462.5,6
1575200,340,54,403.78000000000003,49
1575400,36,6,91.8,6
1575500,157,18,306.05,18
1575600,45,39,123.59,38
1575700,167,16,261.36,16
1575900,8,1,68.0,1
1576800,101,10,354.34999999999997,10
1576900,360,2,1220.4,1
1577500,68,7,104.9,7
1577700,129,14,293.96,14
1578000,127,13,225.61,13
1578500,-1,1,-10.95,1
1579600,91,24,252.47,21
1579700,200,1,330.0,1
1580000,108,14,244.5,14
1580500,582,62,1193.41,56
1580900,58,4,63.42,4
1581000,280,32,476.8,31
1581200,388,3,519.96,3
1581300,369,29,770.65,29
1581500,252,10,427.0,10
1582600,488,28,720.0,27
1582700,36,3,63.36,3
1583200,465,54,836.79,54
1583500,88,11,187.2,11
1583800,428,6,825.96,6
1584100,234,17,281.66,17
1584500,-6,1,-51.0,1
1585400,52,4,309.4,2
1585500,68,6,95.8,5
1585600,379,26,516.29,26
1586000,101,35,292.85,31
1586100,561,115,722.48,98
1586500,178,16,313.93,16
1586700,158,32,215.64000000000001,32
1587400,67,20,296.4,20
1589100,441,61,521.97,50
1589400,53,3,106.81,3
1589800,76,7,168.7,5
1590300,292,10,480.36,10
1590600,102,33,365.43,30
1590700,157,58,251.18,44
1591000,82,31,118.89,30
1591200,66,13,141.49,12
1591600,64,15,160.12,14
1591700,42,12,123.1,12
1593200,180,7,311.15999999999997,7
1593500,114,11,108.03999999999999,11
1593800,42,2,62.7,2
1593900,170,3,131.3,2
1595200,123,14,232.65,14
1595300,72,4,171.92,4
1595500,229,19,491.79,19
1597100,6,1,17.7,1
1597300,-1,1,-10.95,1
1597400,370,35,656.3,34
1597600,125,50,209.99,49
1598000,592,20,760.18,20
1598100,376,13,600.0,13
1598400,81,8,212.19,8
1598500,878,27,899.5799999999999,27
1598700,24,1,9.36,1
1599600,45,15,169.73000000000002,14
1599800,643,155,918.83,148
1600600,84,8,101.4,8
1600700,420,79,369.75,74
1601000,103,48,178.65,36
1601100,63,8,118.55,8
1601300,100,1,375.0,1
1601600,107,41,308.11,35
1601900,60,7,303.32,7
1602200,261,76,628.28,65
1602300,52,24,177.84,23
1602700,149,3,116.95,3
1602900,324,4,585.0,4
1603100,219,39,305.63,38
1603300,153,59,411.88,54
1603600,127,11,188.73000000000002,11
1604300,102,4,144.10000000000002,4
1604500,107,11,196.79999999999998,11
1605500,22,8,134.8,8
1605700,160,20,375.56,20
1605900,144,48,384.45,45
1606200,209,19,330.62,19
1606300,262,23,335.32,23
1607600,5,1,14.75,1
1608000,-24,1,-40.56,1
1608100,241,20,410.53,20
1608500,129,29,143.69,26
1609200,211,20,310.87,20
1609400,164,16,252.1,16
1609600,155,12,320.62,12
1609700,87,10,185.04999999999998,10
1609800,56,7,157.9,7
1609900,206,19,318.3,19
1610300,130,10,204.46,10
1610500,330,13,336.96,13
1610900,528,15,296.88,12
1611000,143,85,284.23,77
1611500,133,51,205.13,44
1611600,248,34,612.78,33
1612100,142,74,287.89,60
1613100,540,24,1056.36,24
1613300,139,14,301.53000000000003,14
1613500,209,21,517.55,21
1614200,422,37,535.34,37
1614300,152,20,361.32,19
1614400,16,1,175.2,1
1614500,458,23,337.36,23
1614600,211,19,385.69,18
1615000,-7,4,-23.55,4
1615300,96,12,186.9,12
1615600,-3,3,-16.0,3
1616100,165,21,345.35,20
1616200,4,2,37.4,2
1616300,100,1,415.0,1
1616800,88,7,141.2,7
1617000,202,16,316.02,16
1617200,180,16,199.38,16
1617500,100,15,272.86,15
1618000,228,13,413.88,12
1618400,26,9,148.22,9
1618500,153,19,335.0,19
1618600,428,28,392.40999999999997,28
1618700,498,38,713.08,38
1618800,71,9,151.65,9
1619100,276,10,596.4,10
1619300,219,19,314.45,19
1620300,72,9,147.6,9
1620600,70,16,127.45,16
1620900,245,10,305.95,10
1621000,497,13,1413.99,10
1621400,34,5,206.7,5
1621700,-14,3,-37.8,3
1621800,126,8,216.3,8
1622400,79,14,167.47,14
1622600,72,3,130.8,3
1622700,90,6,314.22,6
1622900,92,12,358.2,12
1623000,195,19,275.93,18
1623200,231,19,366.47,18
1624100,116,61,229.27,59
1624200,78,22,176.59,21
1624400,236,28,466.12,24
1624500,258,30,453.98,30
1624900,441,22,814.8299999999999,22
1625000,100,10,163.3,10
1625300,1340,53,1700.4,52
1625500,195,21,168.46,20
1625600,581,13,752.4300000000001,13
1625800,372,35,1032.46,34
1626100,139,56,254.96,47
1626500,182,19,432.3,19
1629700,-1,1,-2.95,1
1630600,22,3,37.8,3
1630800,1000,1,320.0,1
1630900,304,21,334.2,21
1631900,72,3,404.40000000000003,3
1632500,62,5,190.82,5
1632600,19,13,109.05,12
1633300,6072,11,4187.76,7
1634800,222,81,453.36,72
1635300,312,16,684.3599999999999,16
1635600,0,2,0.6500000000000001,2
1635700,22,7,137.9,7
1635900,143,16,173.4,14
1636500,102,3,120.9,3
1637000,169,63,275.54,57
1637400,52,27,156.3,26
1637800,42,3,75.9,3
1638400,200,24,409.1,23
1638600,26,4,61.1,3
1639300,66,19,128.25,18
1639400,403,24,306.89,24
1639800,503,63,1169.95,63
1639900,141,30,176.61,30
1640100,376,17,306.6,17
1640200,44,3,87.8,3
1640700,48,3,60.0,3
1640900,400,70,532.0,66
1641800,87,18,145.91,18
1642200,1014,8,833.1,8
1642700,72,5,131.26,5
1643100,249,33,298.88,25
1643400,57,4,121.95,4
1644000,115,35,272.46,34
1644200,291,56,285.37,54
1644400,72,27,110.13,23
1645500,196,19,413.7,18
1645600,218,23,339.93,21
1645700,140,9,208.36,9
1645800,106,11,157.7,10
1646600,102,19,212.4,19
1646900,114,69,276.88,52
1647700,217,25,376.3,25
1650300,108,16,251.6,16
1651100,120,61,338.75,52
1651500,111,22,301.82,21
1652000,139,54,297.16,52
1652300,108,14,374.7,14
1652500,400,9,851.4,8
1653900,66,8,306.36,8
1655000,358,66,478.03,64
1655200,180,12,284.44,12
1655300,-4,1,-51.0,1
1655400,128,20,313.26,20
